Date,Open,High,Low,Close,Volume
2025-10-30,2903.18,2914.05,2862.58,2877.53,1082343
2025-10-31,2873.68,2916.45,2873.68,2912.56,4998103
2025-11-03,2914.37,2915.25,2876.51,2879.17,2691231
2025-11-04,2878.77,2982.15,2825.98,2928.06,4145385
2025-11-05,2940.79,2973.33,2904.78,2949.88,4160737
2025-11-06,2941.17,2967.36,2891.92,2909.16,2636767
2025-11-07,2911.74,2972.08,2885.22,2947.82,4861407
2025-11-10,2945.04,3011.23,2934.60,2997.78,2152850
2025-11-11,3000.36,3003.79,2920.17,2926.03,3269918
2025-11-12,2939.38,2950.17,2856.82,2880.58,4754051
2025-11-13,2888.83,2955.66,2871.99,2946.87,3875579
2025-11-14,2951.54,2975.21,2901.27,2929.45,3680501
2025-11-17,2912.42,3013.80,2907.13,2991.02,3024550
2025-11-18,2988.97,3016.24,2896.67,2921.30,3203222
2025-11-19,2923.37,2975.46,2896.66,2950.57,2292657
2025-11-20,2953.51,2953.51,2870.14,2873.01,1211316
2025-11-21,2880.16,2880.16,2849.20,2856.31,3311762
2025-11-24,2857.01,2977.24,2825.13,2945.09,2170422
2025-11-25,2947.26,2988.30,2940.73,2983.89,4485732
2025-11-26,2965.96,3010.17,2900.41,2926.18,2131040
2025-11-27,2921.63,2956.95,2921.63,2952.36,3852531
2025-11-28,2967.12,2990.21,2917.87,2955.69,1394119
2025-12-01,2952.74,2962.11,2952.74,2959.15,4844944
2025-12-02,2963.07,2965.83,2898.21,2904.76,1618529
2025-12-03,2892.50,2915.71,2883.74,2894.65,3161688
2025-12-04,2884.13,2998.07,2879.58,2982.55,4734386
2025-12-05,2991.21,3029.12,2891.21,2937.08,4240594
2025-12-08,2930.34,3019.81,2913.74,2996.01,2573997
2025-12-09,2989.89,3012.78,2985.67,3002.42,4872979
2025-12-10,2989.18,3004.14,2968.48,2970.17,2467074
2025-12-11,2977.92,2999.91,2967.34,2997.05,1175934
2025-12-12,2992.20,3032.37,2983.77,3018.99,1038790
2025-12-15,3023.13,3037.61,2935.12,2953.35,4408456
2025-12-16,2936.50,2961.47,2920.15,2928.20,663845
2025-12-17,2916.48,3000.09,2903.40,2974.90,3690867
2025-12-18,2972.23,2983.10,2862.26,2870.18,4015005
2025-12-19,2866.84,2948.72,2833.85,2911.86,2350012
2025-12-22,2903.23,2913.24,2876.60,2877.96,3891654
2025-12-23,2870.83,2889.82,2870.83,2882.68,1570619
2025-12-24,2892.34,2940.11,2879.24,2936.60,727348
2025-12-25,2941.29,2958.08,2883.68,2904.93,4373007
2025-12-26,2900.44,2936.36,2888.52,2919.87,3331159
2025-12-29,2918.26,2965.02,2918.26,2963.39,4036342
2025-12-30,2973.82,2973.82,2953.59,2964.02,3435680
2025-12-31,2967.33,2973.08,2962.58,2971.63,837709
2026-01-01,2972.20,3033.59,2913.54,2975.42,1778275
2026-01-02,2985.51,2986.86,2973.48,2984.92,1459568
2026-01-05,2980.15,2991.47,2950.43,2956.92,1907517
2026-01-06,2942.81,3004.85,2839.11,2885.89,1460771
2026-01-07,2881.63,2904.88,2872.30,2891.26,3116887
2026-01-08,2882.57,2990.75,2846.35,2945.00,3648302
2026-01-09,2957.02,2967.58,2867.99,2890.14,2537168
2026-01-12,2899.05,2953.77,2858.23,2921.52,1515483
2026-01-13,2931.98,2967.71,2892.59,2938.61,3608573
2026-01-14,2943.96,2984.34,2907.80,2953.37,606133
2026-01-15,2971.14,3038.68,2917.77,3002.48,4356573
2026-01-16,2995.68,3080.92,2995.68,3073.95,4876728
2026-01-19,3078.04,3114.85,3069.75,3110.60,4555871
2026-01-20,3114.42,3155.99,3012.75,3057.37,2751464
2026-01-21,3064.17,3073.86,3026.76,3043.18,4281601
2026-01-22,3044.23,3044.23,3028.31,3029.35,3679192
2026-01-23,3024.58,3053.58,2978.83,3002.85,3476487
2026-01-26,2996.36,3056.74,2996.36,3050.15,2817508
2026-01-27,3052.62,3060.26,2989.32,2999.26,3909366
2026-01-28,3000.34,3072.08,2958.93,3031.33,4493758
2026-01-29,3032.40,3053.69,2977.96,3000.09,2358885
2026-01-30,3003.89,3014.88,2967.13,2981.82,3595567
2026-02-02,2968.61,2986.73,2923.64,2928.46,3274878
2026-02-03,2936.21,2977.70,2913.08,2962.15,3072140
2026-02-04,2963.73,2974.85,2950.13,2962.84,4995152
2026-02-05,2958.70,3019.53,2928.27,2984.71,2106762
2026-02-06,2980.81,3023.37,2957.84,2996.40,4900973
2026-02-09,2981.99,3051.61,2822.71,2875.69,2128376
2026-02-10,2871.33,2896.55,2844.08,2864.86,1561854
2026-02-11,2887.85,2939.20,2855.42,2929.55,2950619
2026-02-12,2936.47,2941.07,2911.52,2923.02,602889
2026-02-13,2918.59,2946.55,2863.19,2886.42,4194920
2026-02-16,2886.15,2936.87,2777.26,2826.67,1457032
2026-02-17,2818.95,2922.17,2816.65,2911.85,1121446
2026-02-18,2921.08,2928.36,2837.66,2853.84,3048757
2026-02-19,2857.14,2933.59,2839.00,2918.42,3991120
2026-02-20,2920.04,2944.00,2833.46,2858.51,4279189
2026-02-23,2854.59,2927.32,2842.39,2910.90,4097285
2026-02-24,2899.83,2941.40,2860.75,2891.03,2243051
2026-02-25,2886.21,2903.82,2834.07,2846.65,1181049
2026-02-26,2847.21,2873.86,2834.91,2862.05,4279098
2026-02-27,2853.07,2873.94,2852.46,2864.34,773802
2026-03-02,2861.59,2908.78,2828.68,2873.02,2458100
2026-03-03,2866.03,2908.95,2793.14,2828.52,2159427
2026-03-04,2817.39,2841.38,2769.28,2781.93,1693164
2026-03-05,2784.11,2794.01,2697.99,2709.76,3080434
2026-03-06,2717.45,2732.49,2625.68,2647.89,4431723
2026-03-09,2636.48,2660.24,2616.13,2628.39,2783766
